name,population
Shanghai,22315474
Beijing,11716620
Tianjin,11090314
Guangzhou,11071424
Shenzhen,10358381
Wuhan,9785388
Dongguan,8000000
Chongqing,7457600
Chengdu,7415590
Nanjing,7165292
Nanchong,7150000
Xi'an,6501190
Shenyang,6255921
Hangzhou,6241971
Harbin,5878939
Tai'an,5499000
Suzhou,5345961
Shantou,5329024
Jinan,4335989
Zhengzhou,4253913
Changchun,4193073
Dalian,4087733
Kunming,3855346
Qingdao,3718835
Foshan,3600000
Puyang,3590000
Wuxi,3543719
Xiamen,3531347
Tianshui,3500000
Ningbo,3491597
Shiyan,3460000
Taiyuan,3426519
Tangshan,3372102
Hefei,3310268
Zibo,3129228
Zhongshan,3121275
Changsha,3093980
Urumqi,3029372
Shijiazhuang,2834942
Lanzhou,2628426
Yunfu,2612800
Nanchang,2357839
Dadonghai,2000000
Ordos,1940653
Jilin,1881977
Bayan Nur,1760000
Kunshan,1600000
Xinyang,1590668
Fushun,1400646
Luoyang,1390581
Guankou,1380000
Handan,1358318
Baotou,1301768
Xuchang,1265536
Yueyang,1200000
Anshan,1199275
Tongshan,1199193
Fuzhou,1179720
Guiyang,1171633
Lijiang,1137600
Datong,1052678
Changshu City,1047700
Xianyang,1034081
Huainan,1027655
Jieyang,1001985
Zhu Cheng City,1000000
Baoding,995652
Benxi,987717
Changzhou,949018
Huaibei,903039
Kaifeng,900000
Pingdingshan,889675
Qiqihar,882364
Wenzhou,865672
Zhabei,840000
Nanning,803788
Anyang,781129
Hohhot,774477
Shangyu,770000
Xining,767531
Qinhuangdao,759718
Hengyang,759602
Xinxiang,743601
Hegang,743307
Langfang,720119
Zhumadian,720000
Yantai,719332
Zhuzhou,709358
Changzhi,699514
Zhangjiakou,692602
Zigong,689961
Fuxin,689050
Huangshi,688090
Liaoyang,687890
Xiangtan,674189
Puyang Chengguanzhen,666322
Nantong,666251
Mudanjiang,665915
Guilin,649352
Zhanjiang,637790
Zhenjiang,632552
Dandong,631973
Shaoguan,628749
Yancheng,628441
Panshan,625040
Haikou,615835
Taizhou,612356
Xingtai,611739
Jinzhou,604269
Shuangyashan,600000
Luancheng,597130
Yingkou,591159
Zhangzhou,589831
Bengbu,576648
Shihezi,572772
Siping,555609
Huai'an,555230
Jiamusi,549549
Neijiang,546854
Yangzhou,539715
Guli,536000
Tanggu,535298
Jiangmen,532419
Cangzhou,527681
Changde,517780
Jiaozuo,517540
Tonghua,510000
Wuhu,507524
Zhuhai,501199
Shashi,498780
Wuwei,493092
Qionghai,480000
Yichang,476725
Yinchuan,475101
Jiaojiang,470804
Zunyi,466292
Jiaxing,466101
Liaoyuan,465249
Xiangyang,462956
Dadukou,461513
Hengshui,456356
Jining,450327
Wenshan City,450000
Chengde,449325
Bei'an,436444
Luqiao,427890
Chaozhou,424787
Shaoxing,421283
Luohe,417356
Yangquan,413394
Chaoyang,410005
Jixi,403759
Yangjiang,399735
Weifang,394732
Xinpu,392444
Dezhou,379555
Zhoukou,377061
Putian,376558
Zhangjiakou Shi Xuanhua Qu,373422
Pingxiang,372123
Fenghuang,370000
Zhaoqing,361969
Huocheng,360000
Anqing,358661
Anshun,351936
Chifeng,346654
Taihecun,345033
Shiqi,342306
Aksu,340020
Tieling,333907
Jincheng,332650
Yanji,326957
Suizhou,323945
Shangrao,318769
Baicheng,316970
Lianshan,313247
Wusong,312588
Jingdezhen,310565
Shengli,306450
Yangshuo,300000
Xinyuan,300000
Xiuying,290000
Beihai,289568
Huizhou,289201
Chuzhou,280582
Kashgar,274717
Linyi,270669
Chengzhong,265886
Wuzhou,265846
Hulan Ergi,265344
Mianyang,264136
Tongliao,261110
Aral,260000
Karamay,260000
Jiujiang,258807
Jining,258757
Turpan,254900
Heze,254602
Laohekou,253112
Suihua,252245
Liupanshui,251900
Nanyang,251532
Wafangdian,250591
Rizhao,246387
Ji'an,245000
Hebi,244662
Huayin,242488
Yibin,242111
Xiantao,239406
Yuci,235929
Linfen,232566
Liaocheng,226930
Fendou,226298
Huanggang,225956
Jingling,224871
Tongchuanshi,223603
Xintai,222459
Wuxue,220661
